class,precision,recall,f1,support
airplane,0.35758651286601595,0.403,0.37893747061589095,1000
automobile,0.18273381294964028,0.127,0.14985250737463127,1000
bird,0.2278719397363465,0.121,0.1580666231221424,1000
cat,0.16448326055312956,0.113,0.13396561944279786,1000
deer,0.19140625,0.196,0.19367588932806323,1000
dog,0.13204225352112675,0.075,0.09566326530612244,1000
frog,0.22838499184339314,0.28,0.25157232704402516,1000
horse,0.17135549872122763,0.201,0.18499769903359412,1000
ship,0.22095070422535212,0.251,0.2350187265917603,1000
truck,0.1854882705946536,0.34,0.2400282386163078,1000
