class,precision,recall,f1,support
airplane,0.46167883211678834,0.253,0.3268733850129199,1000
automobile,0.1903485254691689,0.284,0.22792937399678972,1000
bird,0.12941176470588237,0.011,0.020276497695852536,1000
cat,0.19480519480519481,0.105,0.1364522417153996,1000
deer,0.23688663282571912,0.14,0.1759899434318039,1000
dog,0.16648531011969533,0.153,0.15945805106826472,1000
frog,0.2821601941747573,0.465,0.3512084592145015,1000
horse,0.19382627422828427,0.27,0.22565816966151275,1000
ship,0.2907801418439716,0.41,0.34024896265560167,1000
truck,0.16363636363636364,0.225,0.18947368421052632,1000
