class,precision,recall,f1,support
airplane,0.2962962962962963,0.272,0.28362877997914493,1000
automobile,0.15125391849529782,0.193,0.1695957820738137,1000
bird,0.1921641791044776,0.103,0.13411458333333334,1000
cat,0.18609022556390978,0.099,0.12924281984334204,1000
deer,0.20640569395017794,0.174,0.18882257189365165,1000
dog,0.15757575757575756,0.078,0.10434782608695652,1000
frog,0.2246313963573287,0.259,0.24059451927542963,1000
horse,0.1793831168831169,0.221,0.19802867383512546,1000
ship,0.20962962962962964,0.283,0.24085106382978724,1000
truck,0.18138138138138138,0.302,0.22664165103189493,1000
