class,precision,recall,f1,support
airplane,0.375,0.432,0.40148698884758366,1000
automobile,0.21972132904608788,0.205,0.21210553543714433,1000
bird,0.2615803814713896,0.096,0.14045354791514264,1000
cat,0.18304172274562583,0.136,0.15605278255880667,1000
deer,0.2181987000928505,0.235,0.2262879152623977,1000
dog,0.1519756838905775,0.05,0.07524454477050414,1000
frog,0.27622841965471445,0.416,0.3320031923383879,1000
horse,0.2225201072386059,0.249,0.2350165172251062,1000
ship,0.25878594249201275,0.324,0.2877442273534636,1000
truck,0.24441524310118265,0.372,0.2950039651070579,1000
