class,precision,recall,f1,support
airplane,0.42990654205607476,0.322,0.368210405946255,1000
automobile,0.270956816257409,0.32,0.29344337459880787,1000
bird,0.13043478260869565,0.03,0.04878048780487805,1000
cat,0.19143576826196473,0.152,0.16945373467112598,1000
deer,0.23865300146412885,0.163,0.19370172311348782,1000
dog,0.19409660107334525,0.217,0.2049102927289896,1000
frog,0.2893368010403121,0.445,0.35066981875492514,1000
horse,0.21236777868185516,0.261,0.23418573351278602,1000
ship,0.31520882584712373,0.4,0.35257822829440283,1000
truck,0.22580645161290322,0.273,0.24717066545948393,1000
