class,precision,recall,f1,support
airplane,0.28822495606326887,0.328,0.3068288119738073,1000
automobile,0.15590008613264428,0.181,0.16751503933364184,1000
bird,0.18580375782881003,0.089,0.12035158891142664,1000
cat,0.17270788912579957,0.081,0.1102791014295439,1000
deer,0.21258907363420426,0.179,0.19435396308360478,1000
dog,0.15196998123827393,0.081,0.10567514677103718,1000
frog,0.22419106317411402,0.291,0.25326370757180156,1000
horse,0.19690265486725664,0.178,0.1869747899159664,1000
ship,0.21151079136690648,0.294,0.24602510460251045,1000
truck,0.18141097424412095,0.324,0.23259152907394112,1000
