class,precision,recall,f1,support
airplane,0.2959789057350033,0.449,0.35677393722685735,1000
automobile,0.263448275862069,0.191,0.22144927536231884,1000
bird,0.14056939501779359,0.079,0.10115236875800256,1000
cat,0.23423423423423423,0.052,0.0851063829787234,1000
deer,0.23767123287671232,0.347,0.2821138211382114,1000
dog,0.21264367816091953,0.148,0.17452830188679244,1000
frog,0.29896907216494845,0.406,0.3443596268023749,1000
horse,0.25254813137032844,0.223,0.23685608072225173,1000
ship,0.24652338811630847,0.39,0.3020914020139427,1000
truck,0.2864321608040201,0.285,0.2857142857142857,1000
