class,precision,recall,f1,support
airplane,0.3916876574307305,0.311,0.346711259754738,1000
automobile,0.2729331823329558,0.241,0.25597450876261285,1000
bird,0.14285714285714285,0.001,0.0019860973187686196,1000
cat,0.2063953488372093,0.071,0.1056547619047619,1000
deer,0.16417910447761194,0.022,0.03880070546737213,1000
dog,0.1922099915325995,0.227,0.20816139385602933,1000
frog,0.23944773175542405,0.607,0.34342291371994343,1000
horse,0.1794871794871795,0.231,0.20201136860515959,1000
ship,0.2979011509817197,0.44,0.3552684699232943,1000
truck,0.21723122238586157,0.295,0.2502120441051739,1000
