class,precision,recall,f1,support
airplane,0.2832529290144728,0.411,0.3353733170134639,1000
automobile,0.1997563946406821,0.164,0.1801208127402526,1000
bird,0.16911764705882354,0.046,0.07232704402515723,1000
cat,0.16541353383458646,0.066,0.0943531093638313,1000
deer,0.22936660268714013,0.239,0.23408423114593535,1000
dog,0.19444444444444445,0.028,0.04895104895104895,1000
frog,0.2351313969571231,0.34,0.27800490596892885,1000
horse,0.22945205479452055,0.268,0.24723247232472326,1000
ship,0.22953114065780267,0.328,0.2700699876492384,1000
truck,0.20733041575492342,0.379,0.268033946251768,1000
